Name,Age,Debut,Nationality,Stance,Reach,Total_Bouts,Wins,Winrate,Total_Rounds,Ko_Wins,Ko_Percentace
Marco Antonio Barrera,50,1989,Mexico,orthodox,"70.1"" / 178 cm",74,67,90.54,,46,69
Mario Barrios,30,2013,United States,orthodox,"70.9"" / 180 cm",32,29,90.62,198.0,18,62
Albert Batyrgaziev,26,2020,Russia,southpaw,-,13,12,92.31,95.0,8,67
Erik Bazinyan,30,2013,Armenia,orthodox,"72.8"" / 185 cm",34,32,94.12,179.0,23,72
Reece Bellotti,34,2015,England,orthodox,-,26,20,76.92,167.0,15,75
Raymundo Beltran,43,1999,Mexico,orthodox,"68.1"" / 173 cm",48,37,77.08,,24,65
David Benavidez,28,2013,United States,orthodox,"76"" / 193 cm",30,30,100.0,160.0,24,80
Alexander Besputin,33,2015,Russia,southpaw,"68.1"" / 173 cm",15,15,100.0,,11,73
Artur Beterbiev,40,2013,Russia,orthodox,"72.8"" / 185 cm",22,21,95.45,122.0,20,95
Dmitry Bivol,34,2014,Russia,orthodox,"72"" / 183 cm",25,24,96.0,,12,50
Timothy Bradley Jr,41,2004,USA,orthodox,"68.9"" / 175 cm",36,33,91.67,,13,39
Cecilia Braekhus,43,2007,Norway,orthodox,"66.9"" / 170 cm",41,38,92.68,,9,24
Dominic Breazeale,39,2012,USA,orthodox,"81.5"" / 207 cm",23,20,86.96,,18,90
Marcus Browne,34,2012,United States,southpaw,"75.6"" / 192 cm",27,25,92.59,132.0,16,64
Trevor Bryan,35,2011,USA,orthodox,"79.1"" / 201 cm",24,22,91.67,,15,68
Frank Buglioni,35,2011,United Kingdom,orthodox,"78"" / 198 cm",27,22,81.48,,16,73
Ricky Burns,41,2001,United Kingdom,orthodox,"70.1"" / 178 cm",54,45,83.33,,17,38
Salt Papi,30,2022,United Kingdom,Orthodox (R),"68.9"" / 175 cm",1,0,0.0,3.0,0,0
Lucian Bute,44,2003,Romania,southpaw,"72"" / 183 cm",37,32,86.49,,25,78
Gideon Buthelezi,38,2006,South Africa,southpaw,"63"" / 160 cm",29,23,79.31,,5,22
Paul Butler,35,2010,United Kingdom,orthodox,"65"" / 165 cm",39,36,92.31,,17,47
Randy Caballero,34,2010,USA,orthodox,"68.1"" / 173 cm",25,24,96.0,,14,58
Chantelle Cameron,34,2017,England,orthodox,"68.9"" / 175 cm",20,20,100.0,155.0,8,42
Liam Cameron,34,2009,England,orthodox,-,31,23,74.19,181.0,10,43
Carlos Canizales,32,2014,Venezuela,orthodox,"64.6"" / 164 cm",31,27,87.1,181.0,19,70
Alycia Baumgardner,30,2017,United States,orthodox,"66.1"" / 168 cm",17,16,94.12,,7,44
Tony Bellew,41,2007,United Kingdom,orthodox,"74"" / 188 cm",34,30,88.24,,20,67
Jose Benavidez Jr,32,2010,USA,orthodox,"72.8"" / 185 cm",33,29,87.88,,20,69
Conor Benn,28,2016,England,orthodox,"68.1"" / 173 cm",24,23,95.83,118.0,14,61
Denzel Bentley,30,2017,England,orthodox,"72"" / 183 cm",25,21,84.0,109.0,17,81
Miguel Berchelt,32,2010,Mexico,orthodox,"70.9"" / 180 cm",44,41,93.18,,37,90
Edgar Berlanga,28,2016,United States,orthodox,"72.8"" / 185 cm",24,23,95.83,85.0,17,74
Chris Billam-Smith,34,2017,United Kingdom,orthodox,"75.2"" / 191 cm",22,20,90.91,,13,65
Serhii Bohachuk,29,2017,Ukraine,orthodox,"72.8"" / 185 cm",27,25,92.59,,24,96
Ricards Bolotniks,34,2013,Latvia,orthodox,"72.8"" / 185 cm",29,20,68.97,,8,40
Philip Bowes,40,2011,United Kingdom,southpaw,-,24,20,83.33,,3,15
Juergen Braehmer,46,1999,Germany,southpaw,"71.3"" / 181 cm",55,52,94.55,,38,73
Shannon Briggs,52,1992,USA,orthodox,"79.9"" / 203 cm",67,60,89.55,,53,88
